"_id","authentication","birthday","brief_introduction","city","crawl_time","fans_num","follows_num","gender","labels","nick_name","province","sentiment","sex_orientation","tweets_num","vip_level"
"6004693751",,,,,"1610335714","47","505","男",,"龙大虾不带V","其他",,,"44","：未开通"
"2012061363",,,"80后,曾经是农民,目前外企打工",,"1610335713","404","608","男",,"老YoYo","江苏",,,"854","：未开通"
"6354106172",,,,,"1610335719","41","46","男",,"沈军不了情","其他",,,"3","：未开通"
"7158873739",,"1997-05-25",,,"1610335719","9","125","男",,"随便取的66","江苏",,,"1","：未开通"
"2784321410",,"白羊座",,"无锡","1610335724","121","97","男","游戏动漫","起个不那么大众的名字","江苏",,"异性恋","13","：1级"
"2711606561",,"1995-03-21","一个杀手------------------------KTV果盘杀手","武汉","1610335724","112","309","女","装逼死,萌大乃","实习生铲屎官","湖北","：恋爱中",,"2107","：未开通"
"3579204562",,"天蝎座","这个人很懒 无可救药","日照","1610335724","557","294","男","书法,O型血,户外","horizonSee","山东",,,"737","：未开通"
"5710869394",,"天秤座","我觉得真正的君子是懂道理的人，是客观讨论问题的人，而抛开事实本身去污蔑他人的人，不讲道理的人是小人罢了，千万不要奢求后者会讲道理",,"1610335725","244","1094","女","音乐,宠物图集,动漫","一只大耳兽诶","其他",,,"2316","：1级"
"7202682309",,"2001-03-03",,,"1610335731","1","19","男",,"咸鱼水斗","其他",,,"7","：未开通"
"7112076670",,"2000-05-04","布鲁谢特皇家工程兵学院教授",,"1610335730","1174","140","女",,"苏沐炘","福建",,,"219","：未开通"
"7225160511",,"1970-01-01",,,"1610335732","51","653","女",,"专治成人忽悠","北京",,,"31","：未开通"
"6091899600",,,,,"1610335730","3","111","男",,"馕dei哞那以呀","其他",,,"321","：未开通"
"2709155475",,"摩羯座","2018年有点烦！喂！！你能不能别烦啊！！！","中山","1610335736","168","753","女","娱乐,文艺,旅游","瓶颈真心烦","广东",,,"1449","：未开通"
"3541031261","ABline超话主持人","1999-09-13","KKW离不开SUJU💙原耽🌈","广州","1610335737","356","317","女","小小小吃货,Relax","係咁噶啦-","广东",,,"157","：1级"
"1593716744",,"巨蟹座","养猫",,"1610335736","470","1360","女",,"毛天天天","北京",,,"2380","：未开通"
"6498079483",,"1994-07-25","我现在有点忙，稍后联系你。","济南","1610335739","66","259","女",,"豆子吃大魚","山东",,,"115","：4级"
"1822464291",,,"旅行即是生活 - 安徒生","澳大利亚","1610335743","225","466","女","千江有水千江月,美食,摄影","-无敌兔-","海外",,,"1957","：未开通"
"5075514507",,"1990-02-09","爱搞笑，爱玩，爱生活","呼和浩特","1610335744","210","215","女","名人明星","长在树上的草莓88","内蒙古",,,"2296","：未开通"
"5513182345",,"01-01","时光留存者 ｜ VX：ZhengXin-0727","深圳","1610335745","11172","482","男","自由摄影师,人像摄影师,设计","正新ZhengXin","广东",,,"313","：6级"
"6266030192",,"2006-04-13",,,"1610335745","37","393","男",,"没力检合众国","其他",,,"35","：未开通"
"2513962561",,"0001-00-00","从最坏处着眼 向最好处努力","石家庄","1610335748","666","307","女","话痨,购物狂,宅","种树修路发家致富","河北",,,"5720","：6级"
"3131940861",,"双子座",,,"1610335749","38","119","女","健康","陆路璐露天王","其他",,,"79","：未开通"
"3165964532",,"0001-00-00","呵呵","南京","1610335751","68","219","男","游戏动漫","游走丨灵魂","江苏",,,"1107","：未开通"
"6912577524",,"1970-01-01",,,"1610335752","531","229","男",,"清芬的烧瓶5","湖北",,,"5279","：未开通"
"1157109243",,,,"青岛","1610335758","191","556","男","文艺,健康,新闻资讯","平平煜煜","山东",,,"49","：未开通"
"1026831800",,"白羊座","支持武统！一国一制一种货币！",,"1610335757","368","233","男","游戏动漫,旅游,美食","肯柏雷拉兔子","广西",,"异性恋","955","：未开通"
"1396944884",,"处女座","偶稀饭睡觉觉 宅男 好玩 弱智 暂住在俺伟大的祖国的心脏","西城区","1610335758","570","554","男","不成比例的成熟,幼稚,喜欢小动物","搅局者2","北京",,"异性恋","7799","：未开通"
"6190072624",,,,,"1610335760","3","725","女",,"人间四月天people","其他",,,"442","：未开通"
"1043001757",,,"哲学博士，关注生命，关注现象。","广州","1610335763","354","488","男","原创,广州","回到事物本身","广东",,,"458","：未开通"
"1435324995",,"1977-08-18","求同存异","海淀区","1610335763","154","274","男","新闻资讯","飞天306","北京",,,"876","：未开通"
"6382019485",,,,,"1610335765","52","545","男",,"i-漫長當下Mahsing_","其他",,,"2202","：5级"
"5034402035",,"1973-11-01","大陈 来自美丽的宜兴","无锡","1610335765","204","110","男","旅游,体育资讯,财经资讯","染lucky","江苏",,,"625","：未开通"
"3472513180",,"1989-08-18",,"苏州","1610335770","141","53","男","搞笑幽默","陈小胖纸","江苏",,,"132","：未开通"
"5637848030",,"1997-11-01","wy_official 🍉","杨浦区","1610335770","225","76","男","IT科技,新闻热点,视频电影","住在深海的大萝菠里","上海",,"异性恋","285","：1级"
"3880367886",,,"差根签儿串个心儿","日本","1610335770","109","238","女","微笑,金融,文化","小饼干猫饼","海外",,,"5188","：未开通"
"5625453825",,,,,"1610335771","50","61","男","搞笑幽默,美图摄影,八卦杂谈","kiki飞飞鱼","其他",,,"36","：未开通"
"1673501875",,"1976-08-26",,"深圳","1610335774","522","96","男","新闻热点","带剑闯天涯","广东",,,"98","：未开通"
"3669191711","李易峰超话粉丝大咖","2001-10-29","HAKUMANATATA","沙坪坝区","1610335775","252","95","女","颖火虫,蜜蜂,赵丽颖","篱落yi灯明","重庆",,,"4789","：5级"
"5528458305",,"金牛座","《号手就位》《镜双城》",,"1610335776","15935","191","男",,"来一份lucky","江苏",,,"134286","：6级"
"6315208637","李易峰超话粉丝大咖","2000-10-27","雷打下来，雨落下来，天自然会晴的",,"1610335777","180","303","女",,"缥缈河上影","重庆",,,"17199","：5级"
"5309485120",,"1995-01-02","🌈我拯救不了世界希望能看好自己的未来。","长春","1610335781","67","223","女","吉林生活,吃货,大学生","李李李-Superman","吉林",,,"504","：1级"
"2711867404",,"1992-12-01","妖孽快快束手就擒","辽阳","1610335782","161","215","男","游戏动漫,喜欢搞笑","纪财厚","辽宁",,,"629","：3级"
"5309922051",,,"博哥的小仙女",,"1610335781","162","167","女",,"博哥的仙女薇","北京",,,"133","：未开通"
"6347708433",,,,"保定","1610335783","73","110","男",,"荒天帝6347708433","河北",,,"2","：未开通"
"2549585967",,"1992-01-10",,"宜昌","1610335787","195","271","女",,"Hani婧","湖北",,,"611","：未开通"
"5548258961",,"白羊座","重庆  理财规划师",,"1610335789","171","475","女",,"董玉玲V","重庆",,,"476","：2级"
"6020179794",,"射手座",,"鄂尔多斯","1610335789","39","233","女",,"欣xian包子","内蒙古",,,"274","：未开通"
"5091829371",,"天秤座",,"南京","1610335790","87","340","女","校园生活,搞笑幽默,合肥生活","川小南","江苏",,,"63","：未开通"
"5041620283",,"1994-10-22","bless","保定","1610335793","947","923","男","90","兰灰色天空","河北",,,"695","：未开通"
"5656713209",,"2001-04-04",,,"1610335794","48","155","男","校园生活","Vlan11","湖南",,,"165","：1级"
"5771539814",,"1997-06-01","——————————","长春","1610335795","20","18","男","名人明星","是成成成成成呀","吉林",,,"5","：1级"
"5894867423",,"1999-05-01","真正要做的事情，对神明都不要讲.","六安","1610335796","41","281","女",,"0501的金牛","安徽","：单身",,"49","：1级"
"1823419184",,"1945-10-02","你有什么不开心的事？说出来让我开心一下？！","深圳","1610335800","73","76","男","IT数码","微微一笑很呆逼","广东",,,"200","：未开通"
"2660787833",,"1993-12-16","🦁",,"1610335801","33","90","女",,"美乐蒂蕾ababy","湖南",,,"5","：未开通"
"5830773775",,"水瓶座","“与善人居，如入芝兰之室，久而自芳矣。”","湖州","1610335802","3","0","男",,"能不能给我个名称","浙江",,,"6","：未开通"
"5659056556",,"1994-12-01","哟哟哟      一起刷起来","苏州","1610335807","62","41","男",,"Eoc意境的兮兮","江苏",,,"13","：未开通"
"3229133925",,"2006-02-01","🇨🇳",,"1610335815","35","15","女","搞笑幽默","青丘眯咕","湖北",,,"3499","：未开通"
"1149648093",,"1970-09-13","一个没有灵魂时代的到来，从电动车开始","杭州","1610335814","718","1599","男","茶艺,茶叶,茶道爱好者","会刷涂料的茶农","浙江",,,"5073","：未开通"
"5523305687",,"1999-09-22","唯美主义，足球狗，爱猫青年",,"1610335815","341","54","男",,"徐长卿本卿","甘肃",,,"448","：1级"
"5513374040",,"双子座","猫猫 旅游",,"1610335816","74","202","女","体育资讯","Sky6668848","广东",,,"69","：未开通"
"6021761306",,,,"邯郸","1610335821","1158","100","男",,"Ren在路上","河北",,,"144","：未开通"
"6586256864",,"狮子座","简简单单就好…","宁德","1610335822","876","385","男",,"千年以后73851","福建",,,"4748","：2级"
"6402920781",,"1993-07-29",,,"1610335821","18","114","男",,"kilin是小怪兽","湖南",,,"14","：未开通"
"6217548396",,,,,"1610335821","392","691","男",,"巴蒂有人疼","其他",,,"1477","：未开通"
"1093233664",,,,,"1610335827","22","150","男",,"大虾米干","其他",,,"131","：未开通"
"5864446002","CBDF注册拉丁舞教师拉丁舞B级教师","1992-02-14","怼天怼地怼空气",,"1610335828","1179","558","男","搞笑,爱幻想,幽默","怼怼热搜","重庆",,,"536","：2级"
"7215939695",,,,,"1610335829","122","180","男",,"敏感时间8821","其他",,,"298","：未开通"
"6441560491",,"1977-10-15","😊",,"1610335830","902","1987","男",,"AAA天青水蓝","河北",,,"6991","：未开通"
"5122048865","周杰伦超话粉丝大咖","1997-08-26","关掉你的嘴 唯一的恩惠",,"1610335835","716","319","女","名人明星","听你故事的小黄花","台湾",,,"1734","：6级"
"6314613241","周杰伦超话粉丝大咖","2000-04-13","周一其随！國度，榮耀，權柄，都是你的，全都是你的。",,"1610335835","1525","111","女",,"伊伊斯坦堡哟","江苏",,,"2553","：6级"
"6936772182",,"2002-08-20",,,"1610335836","2","2102","女",,"小猪哼哼Xsusan","湖南",,,"14","：未开通"
"5240357052",,"白羊座","廉者，物过大你变不表也；贪者，物过大你变不贼也。","荆州","1610335836","809","173","男","手机,数码","天眼-专收违法乱纪","湖北",,,"135","：2级"
"3211368607",,,"陈情令","广州","1610335840","100","616","女","时尚,投资理财,健康","想回到二零零六年","广东",,,"13788","：6级"
"5316742031",,"1997-05-07","余处幽篁兮终不见天，路险难兮独后来。表独立兮山之上，云容容兮而在下。",,"1610335842","129","292","男","科学探索,星座运势,读书分享","streamWillow527","上海","：单身",,"963","：5级"
"3734647617",,,,,"1610335842","31","289","女",,"漫漫萧默","其他",,,"326","：未开通"
"5453535633",,"1999-04-16","少数的人知道该怎么走  超过一半的只会点头",,"1610335843","835","297","男","旅游,读书分享,美图摄影","一只眠羊Kerwin_","陕西",,,"163","：3级"
"2398211415",,"0001-00-00","房地产信息实时直播","丰台区","1610335846","235","250","男","健康,体育,汽车","苦修之","北京",,,"1354","：未开通"
"5974559291",,"水瓶座","。。。",,"1610335847","60","71","女",,"眼睛大大白又白","其他",,,"0","：2级"
"5036820332",,"1992-03-18","爱中国🇨🇳","其他","1610335847","270","744","男","搞笑幽默","江明先生","海外",,,"2074","：5级"
"6302062912",,,"减肥中",,"1610335849","6","74","女",,"人美路子野-胖N","上海",,,"92","：未开通"
"5347768540",,,,,"1610335853","185","56","女",,"ZHANGylzzz","其他",,,"1","：2级"
"1647405582",,"0001-00-00",,,"1610335853","176","744","女",,"GABYzx","吉林",,,"352","：未开通"
"5558242481",,"1997-06-27","biu biu biu",,"1610335859","5055","373","女",,"里里奥的龙","海外",,,"375","：未开通"
"5885077666",,,"没心没肺，哈哈大笑",,"1610335860","111","59","女",,"程小象ruber","河南",,,"82","：1级"
"5530773933",,"1992-12-17","心一热，天就蓝了，这才知道梅花从不为任何人怒放。",,"1610335866","108","236","男",,"我心退役","陕西",,,"25","：4级"
"7371862381",,"1993-08-14","悄悄爱上你","金华","1610335868","11","261","女",,"悄悄关注我1314","浙江",,,"59","：未开通"
"5955010444",,"1986-05-29","传说中专门提篮子的八零后中年老阿姨",,"1610335867","274","793","女",,"Elaine-Angel蓝馨","湖南",,,"4889","：1级"
"5994481755",,,,"七台河","1610335868","49","108","男",,"草莓味儿的阿尔卑斯","黑龙江",,,"218","：未开通"
"5595791097","财经博主","1977-09-20","行路难，行路难，多歧路，今安在，成风破浪会有时，直挂云帆济沧海","和平区","1610335873","1162","188","男",,"骑着蜗牛追火箭920","天津",,,"2399","：4级"
"5104061227",,"1974-03-03",,"阿克苏","1610335875","668","30","男",,"林峰沐浴","新疆",,,"730","：未开通"
"6733419488",,"1994-09-09",,,"1610335875","531","1597","男",,"西红市炒蛋泡饭","湖北",,,"210","：未开通"
"7356083182",,,"生在新时代，长在红旗下",,"1610335875","169","188","男",,"不要吵醒我的zg梦","其他",,,"259","：未开通"
"3152966000",,"1988-08-18",,,"1610335881","152","222","男",,"龙夫山泉甜个屁-","陕西",,,"5","：未开通"
"6062102731",,"1995-09-08","一只敲可爱的话痨😋",,"1610335882","8574","288","女",,"野区绘梨衣","广东",,,"451","：6级"
"5902862500",,"2017-02-01","请黑白画家远离拜托了🙏🙏","海淀区","1610335881","13","82","男",,"YCLawrenceZzz","北京",,,"61","：未开通"
"6002639196",,"2002-10-10",,,"1610335882","1860","3422","男",,"DerrickWalker","其他",,,"41","：未开通"
"5530938394",,,"“独孤”这个姓氏来源于金庸的《神雕侠侣》，很喜欢金庸的武侠小说，可以说这是我接触最早的长篇小说，至于“九日”则是从我的名字中来的，求光临！","烟台","1610335888","96","3139","男",,"独孤九日78","山东",,,"3493","：未开通"
"3749325263",,"1993-12-08",,"合肥","1610335887","53","296","女","萌宠,美食,搞笑幽默","木木夕的名单","安徽",,,"101","：未开通"
"5978575526",,"摩羯座","一生潇洒，万事随缘。 ​​​","大理","1610335889","133","39","女",,"痘豆妹儿","云南",,,"36","：2级"
"6001798259",,"1982-08-12","一个略带拧巴的小百姓，记录着百姓的生活","大连","1610335889","31","673","女",,"享x自由","辽宁",,,"281","：未开通"
"3857420619",,"1958-01-15",,,"1610335893","48","133","男",,"暴君之暴君","其他",,,"651","：未开通"
"5244049098",,,"肖战举世无双",,"1610335894","657","12","女",,"世人皆醉你与我是同谋","天津",,,"52","：未开通"
"2075072690",,"01-01",,,"1610335894","388","382","男",,"Daniel_YB","其他",,,"155","：2级"
"5702039131",,"1992-12-19","清醒温柔知进退 努力上进且优秀",,"1610335895","182","416","女",,"DC不胖阿","陕西",,,"1492","：1级"
"1890569741",,"1989-07-14","简单简单","宁波","1610335899","145","818","男",,"幸运胡超","浙江",,,"139","：未开通"
"2144148540",,,,,"1610335900","0","55","男",,"·古人诚不我欺","其他",,,"21","：未开通"
"3200463472",,,,,"1610335901","93","78","男","文艺,娱乐","我有点紧张咧","湖北",,,"77","：未开通"
"5963533814",,"1998-03-05","没事干接初中高中小学作业代写，lol代练，java程序代做",,"1610335901","263","802","男","吃货,美食,IT科技","正义感十足的人","浙江","：恋爱中",,"982","：未开通"
"1222629102",,"01-01","简单自在","深圳","1610335907","160","386","女","时尚,美食,宅","士口水寿","广东",,,"368","：未开通"
"2649685865","娱乐综艺视频自媒体","处女座","平平淡淡生活，知足常乐。","杭州","1610335907","49898","262","女",,"Jackie_玲儿","浙江",,,"978","：7级"
"6512070152",,"1994-10-20","甜吗，甜就对了。",,"1610335907","33","19","女",,"这杯奶茶有点sweet","其他",,,"110","：未开通"
"7332005684",,"双鱼座","要努力要善良要发着光",,"1610335909","3","122","女",,"星河入我梦里终归是你","广东",,,"101","：未开通"
"1409688290",,"1981-12-18","慎独则心安","成都","1610335913","453","196","男","摄影,旅游,户外运动","笔墨纸砚柴米油盐","四川",,,"136","：1级"
"3201619403",,"1992-04-16","游戏美术师，小小2.5次元孩纸，喜欢各种品种的受受，各种无节操","南京","1610335914","930","488","女","游戏动漫","千葉Evildoer_求投食","江苏",,,"2266","：未开通"
"5693397075",,,,,"1610335915","138","67","男",,"xp6035","其他",,,"107","：未开通"
"3341623074",,"1985-07-18","别墅、大宅、全屋家具定制 V我～","东城区","1610335914","169","384","女",,"双双的家具故事","北京",,,"955","：未开通"
"2464976194",,"0001-00-00",,"东城区","1610335920","80","100","女","旅游","宏彦李度百","北京",,,"132","：未开通"
"2435201154",,"1992-02-19","凡夫俗子","福州","1610335921","148","76","女","福州生活","能不能就陪着我一直到最后","福建",,,"58","：未开通"
"5645703711",,,,,"1610335920","160","125","女",,"Alin美美","其他",,,"755","：5级"
"6189531303",,"1993-10-25","🈚",,"1610335921","4944","152","女",,"RAYAWAY","湖北",,,"2","：5级"
"1032765384",,"1983-07-18","一个快乐的二货","杭州","1610335930","52","374","男","搞笑幽默,八卦杂谈,旅游","JeeyKi","浙江",,,"49","：未开通"
"1375200705",,"2016-12-18","🐷💝","武汉","1610335931","366","376","男","坚强,文字控,星座命理","咲希熙de小怿子","湖北",,,"1571","：未开通"
"2269565750",,"0001-00-00","愿你成为自己的太阳，无需凭借谁的光","乌鲁木齐","1610335932","77","155","女",,"指尖dream","新疆",,,"295","：1级"
"6412914149",,,,,"1610335932","9","128","男",,"女神面朝大海","其他",,,"539","：未开通"
